08/18/2019,Art of Sauna,22.40,,1001.84
08/18/2019,Art of Sauna,36.75,,1038.59
08/20/2019,DOORDASH*DODO SUSHI,13.82,,1052.41
08/20/2019,CHIPOTLE 1875,13.86,,1066.27
08/20/2019,Amazon.ca*MO7A96NZ1,8.95,,1075.22
08/20/2019,#337 SPORT CHEK,12.31,,1087.53
08/21/2019,UberBV,11.53,,1099.06
08/21/2019,TACOFINO YALETOWN,13.65,,1112.71
08/21/2019,THE PIT,23.65,,1136.36
08/21/2019,BC LIQUOR #192,16.46,,1152.82
08/21/2019,MAN CAVE BARBER SHOP,42.90,,1195.72
08/22/2019,UBER EATS HELP.UBER.COM,12.05,,1207.77
08/22/2019,THIRST FIRST REFRESHMENTS,0.25,,1208.02
08/22/2019,POINT GREY CHIROPRACTIC,2.00,,1210.02
08/22/2019,SHOPPERSDRUGMART2246,12.48,,1222.50
08/22/2019,EBI-TEN,12.46,,1234.96
08/23/2019,AMZN Mktp CA*MO2Z27GY2,15.99,,1250.95
08/23/2019,DOORDASH*THAI BASIL,14.93,,1265.88
08/23/2019,TAISHOKEN RAMEN,15.54,,1281.42
08/23/2019,HAZE SMOKE SHOP,3.35,,1284.77
08/23/2019,HAZE SMOKE SHOP,60.46,,1345.23
08/24/2019,PARKWAY LIQUOR STORE,4.00,,1349.23
08/24/2019,BC LIQUOR #192,14.59,,1363.82
08/24/2019,UBER EATS HELP.UBER.COM,3.77,,1367.59
08/24/2019,UberBV,17.50,,1385.09
08/25/2019,UBER EATS HELP.UBER.COM,13.64,,1398.73
08/25/2019,PIZZA HUT #31138 D,91.55,,1490.28
08/26/2019,MEJURI.COM,137.76,,1628.04
08/26/2019,PAYMENT - THANK YOU,,500.00,1128.04
08/26/2019,WIX.COM*501223951,163.61,,1291.65
08/26/2019,Foodora,11.38,,1303.03
08/27/2019,DOORDASH*THAI BASIL,29.69,,1332.72
08/27/2019,UNIVERSITY PHARMACY,4.25,,1336.97
08/27/2019,EBI-TEN,12.46,,1349.43
08/28/2019,UberBV,14.64,,1364.07
08/28/2019,BC LIQUOR #177,28.48,,1392.55
08/29/2019,THIRST FIRST REFRESHMENTS,1.50,,1394.05
08/29/2019,UBER EATS HELP.UBER.COM,13.47,,1407.52
08/29/2019,UberBV,14.06,,1421.58
08/29/2019,EARLS YALETOWN,23.90,,1445.48
08/29/2019,THE HASTINGS WAREHOUSE,25.32,,1470.80
08/29/2019,BETA5 CHOCOLATES,85.00,,1555.80
08/30/2019,BIMINI BEER & WINE STORE,8.45,,1564.25
08/30/2019,TASTY INDIAN BISTRO,22.14,,1586.39
08/31/2019,BC LIQUOR #192,44.94,,1631.33
08/31/2019,COMPASS ACCOUNT,3.00,,1634.33
08/31/2019,BIMINIS,16.00,,1650.33
09/01/2019,UBER EATS HELP.UBER.COM,13.47,,1663.80
09/01/2019,UBER EATS HELP.UBER.COM,12.78,,1676.58
09/01/2019,SQ *MY BUSINESS,1.00,,1677.58
09/01/2019,SQ *MY BUSINESS,1.00,,1678.58
09/01/2019,DOMINOS PIZZA #39032,23.07,,1701.65
09/02/2019,UBER EATS HELP.UBER.COM,19.84,,1721.49
09/02/2019,AMZN Mktp CA*V89LZ8EX3,57.13,,1778.62
09/03/2019,DOORDASH*DODO SUSHI,20.40,,1799.02
09/03/2019,PAYMENT - THANK YOU,,1500.00,299.02
09/03/2019,PARKWAY LIQUOR STORE,10.50,,309.52
09/04/2019,UBER EATS HELP.UBER.COM,6.71,,316.23
09/06/2019,BC LIQUOR #192,44.94,,361.17
09/07/2019,PIZZA HUT #31138 D,23.60,,384.77
09/07/2019,DOMINOS PIZZA #39032,22.65,,407.42
09/07/2019,AMZN Mktp CA*MO2Q70BZ0,19.03,,426.45
09/07/2019,Amazon.ca*MO7H08B20,15.23,,441.68
09/08/2019,UBER EATS HELP.UBER.COM,3.64,,445.32
09/08/2019,GROCERY CHECKOUT,6.15,,451.47
09/08/2019,UBER EATS HELP.UBER.COM,32.21,,483.68
09/09/2019,UBER EATS HELP.UBER.COM,13.47,,497.15
09/09/2019,IKE'S CAFE,2.73,,499.88
09/09/2019,COWBOYS VAPE & SMOKES,32.81,,532.69
09/10/2019,GOOGLE *YouTube Videos,6.99,,539.68
09/10/2019,GROCERY CHECKOUT,0.40,,540.08
09/10/2019,STARBUCKS - PSP,0.42,,540.50
09/10/2019,SHOPPERSDRUGMART2273,19.94,,560.44
09/10/2019,IMAGINUS CANADA LIMITED,26.88,,587.32
09/11/2019,UBER EATS HELP.UBER.COM,4.37,,591.69
09/12/2019,DOORDASH DASHPASS,9.99,,601.68
09/12/2019,APPLE ONLINE STORE,838.96,,1440.64
09/12/2019,Amazon.ca*A05LM29R3,38.25,,1478.89
09/12/2019,UBER EATS HELP.UBER.COM,4.90,,1483.79
09/13/2019,PAYMENT - THANK YOU,,900.00,583.79
09/13/2019,BC LIQUOR #192,24.26,,608.05
09/13/2019,SHOPPERSDRUGMART2273,1.88,,609.93
09/13/2019,UBER EATS HELP.UBER.COM,6.71,,616.64
09/13/2019,SQ *AMS OF UBC VANCOUVER,20.00,,636.64
09/14/2019,PIZZA HUT #31138 D,33.33,,669.97
09/14/2019,UBER EATS HELP.UBER.COM,6.47,,676.44
09/15/2019,DOORDASH*THAI BASIL,14.93,,691.37
09/16/2019,DOORDASH*THAI BASIL,17.60,,708.97
09/16/2019,PAYMENT - THANK YOU,,750.00,-41.03
09/16/2019,GROCERY CHECKOUT,5.77,,-35.26
09/16/2019,THE LOAFE CAFÉ UBC,3.12,,-32.14
09/16/2019,UBER EATS HELP.UBER.COM,8.41,,-23.73